time,open,high,low,close,volume
2025-10-28 07:00:00,21.35,21.85,21.05,21.7,651400
2025-10-29 07:00:00,21.7,21.8,21.45,21.75,384700
2025-10-30 07:00:00,21.6,21.8,21.5,21.75,463600
2025-10-31 07:00:00,21.8,22.3,21.8,21.95,671100
2025-11-03 07:00:00,21.95,22.0,21.05,21.15,403300
2025-11-04 07:00:00,21.0,21.8,20.3,21.8,646200
2025-11-05 07:00:00,21.3,21.5,21.05,21.2,187800
2025-11-06 07:00:00,21.2,21.2,20.75,21.1,329200
2025-11-07 07:00:00,20.85,21.1,20.55,21.05,439200
2025-11-10 07:00:00,20.9,21.0,20.5,20.5,169400
2025-11-11 07:00:00,20.4,20.75,20.35,20.65,185400
2025-11-12 07:00:00,20.65,20.75,20.35,20.75,470000
2025-11-13 07:00:00,20.55,21.0,20.5,20.85,235400
2025-11-14 07:00:00,20.85,20.85,20.45,20.5,365300
2025-11-17 07:00:00,20.5,20.9,20.5,20.75,217100
2025-11-18 07:00:00,20.65,20.9,20.65,20.65,266800
2025-11-19 07:00:00,20.65,20.85,20.5,20.5,313100
2025-11-20 07:00:00,20.55,20.6,20.4,20.55,219900
2025-11-21 07:00:00,20.5,20.6,20.3,20.45,223300
2025-11-24 07:00:00,20.5,20.65,20.15,20.4,337500
2025-11-25 07:00:00,20.1,20.45,19.9,20.2,623400
2025-11-26 07:00:00,19.85,20.45,19.85,20.3,361300
2025-11-27 07:00:00,20.3,20.65,20.3,20.65,427800
2025-11-28 07:00:00,20.5,20.7,20.5,20.7,339600
2025-12-01 07:00:00,20.7,20.7,20.5,20.7,158700
2025-12-02 07:00:00,20.7,20.7,20.35,20.5,361600
2025-12-03 07:00:00,20.55,21.2,20.55,21.1,507000
2025-12-04 07:00:00,20.9,21.7,20.9,21.7,795700
2025-12-05 07:00:00,21.8,22.15,21.5,22.05,615600
2025-12-08 07:00:00,22.3,22.8,21.8,22.5,1063300
2025-12-09 07:00:00,22.8,22.8,22.5,22.8,1554600
2025-12-10 07:00:00,23.4,23.4,22.6,22.95,928100
2025-12-11 07:00:00,22.8,23.1,22.55,22.95,800400
2025-12-12 07:00:00,23.0,23.0,22.4,22.95,1292300
2025-12-15 07:00:00,22.5,22.9,22.4,22.9,954600
2025-12-16 07:00:00,22.9,23.6,22.5,23.55,1071300
2025-12-17 07:00:00,23.55,24.5,23.4,24.2,2176800
2025-12-18 07:00:00,24.2,24.45,23.6,23.85,1457800
2025-12-19 07:00:00,23.5,24.15,23.5,23.9,808800
2025-12-22 07:00:00,23.7,24.5,23.7,24.4,1151100
2025-12-23 07:00:00,24.7,24.7,23.05,23.9,1660200
2025-12-24 07:00:00,23.15,23.9,23.15,23.7,497500
2025-12-25 07:00:00,23.5,24.0,23.0,23.5,924600
2025-12-26 07:00:00,23.1,23.9,23.0,23.85,900000
2025-12-29 07:00:00,23.85,24.3,23.5,24.25,1192100
2025-12-30 07:00:00,23.95,24.35,23.85,24.35,701300
2025-12-31 07:00:00,24.35,24.6,23.9,24.6,1104200
2026-01-05 07:00:00,24.6,24.6,23.6,24.35,896600
2026-01-06 07:00:00,24.0,24.3,23.55,24.25,470800
2026-01-07 07:00:00,23.9,24.25,23.6,23.65,580100
2026-01-08 07:00:00,23.45,24.25,23.0,23.95,1114900
2026-01-09 07:00:00,23.45,23.95,23.1,23.8,570700
2026-01-12 07:00:00,23.25,23.95,23.1,23.75,1181000
2026-01-13 07:00:00,23.3,23.85,23.25,23.6,991300
2026-01-14 07:00:00,23.65,23.65,23.15,23.55,1019000
2026-01-15 07:00:00,23.3,25.15,23.2,25.15,2105400
2026-01-16 07:00:00,25.55,26.75,24.8,26.75,4639700
2026-01-19 07:00:00,26.8,26.8,25.95,26.5,1681200
2026-01-20 07:00:00,25.9,26.55,25.55,25.8,2104000
2026-01-21 07:00:00,25.7,25.85,24.1,25.1,2757400
2026-01-22 07:00:00,25.0,25.4,24.9,25.2,1268000
2026-01-23 07:00:00,25.0,25.5,24.4,25.0,1260400
2026-01-26 07:00:00,25.0,25.0,23.7,24.4,1403300
2026-01-27 07:00:00,23.0,24.45,23.0,24.05,1206700
2026-01-28 07:00:00,23.8,24.8,23.5,24.45,2796800
2026-01-29 07:00:00,24.1,25.5,24.1,24.7,1990100
2026-01-30 07:00:00,24.7,25.15,24.0,24.4,1318300
2026-02-02 07:00:00,24.1,24.1,23.0,23.0,2578200
2026-02-03 07:00:00,23.0,23.6,22.8,23.6,2315400
2026-02-04 07:00:00,23.45,24.1,23.25,23.95,971200
2026-02-05 07:00:00,24.0,24.0,23.25,23.45,962100
2026-02-06 07:00:00,23.1,23.15,22.3,23.0,1574600
2026-02-09 07:00:00,23.0,23.25,22.65,23.1,416500
2026-02-10 07:00:00,22.95,23.15,22.3,22.7,560800
2026-02-11 07:00:00,22.5,23.15,22.3,22.9,1208500
2026-02-12 07:00:00,22.6,23.25,22.55,23.0,861200
2026-02-13 07:00:00,22.7,23.0,22.4,23.0,916300
2026-02-23 07:00:00,22.9,23.15,21.4,22.7,2556400
2026-02-24 07:00:00,22.2,22.45,21.7,21.7,1757900
2026-02-25 07:00:00,21.7,22.0,20.8,20.8,2368800
2026-02-26 07:00:00,20.8,21.25,20.65,21.0,1680800
2026-02-27 07:00:00,21.0,21.0,20.0,20.4,2354800
2026-03-02 07:00:00,19.5,20.0,19.0,19.0,2309900
2026-03-03 07:00:00,19.0,19.3,18.25,18.4,1919400
2026-03-04 07:00:00,18.25,19.5,18.25,19.25,1808500
2026-03-05 07:00:00,19.45,19.7,18.95,19.0,1207500
2026-03-06 07:00:00,19.0,19.05,18.15,19.0,1131300
2026-03-09 07:00:00,17.75,17.9,17.7,17.7,580800
2026-03-10 07:00:00,17.5,18.0,16.9,17.25,1541100
2026-03-11 07:00:00,17.5,18.1,17.3,18.05,567800
2026-03-12 07:00:00,18.2,18.2,17.7,17.95,458200
2026-03-13 07:00:00,17.8,18.0,17.6,17.7,459100
2026-03-16 07:00:00,17.75,17.9,17.6,17.8,517000
2026-03-17 07:00:00,17.95,18.75,17.95,18.4,739200
2026-03-18 07:00:00,18.6,18.6,17.85,18.1,655400
2026-03-19 07:00:00,17.95,17.95,17.6,17.7,473800
2026-03-20 07:00:00,17.75,17.85,17.65,17.65,348700
2026-03-23 07:00:00,17.6,17.6,16.5,16.7,739500
2026-03-24 07:00:00,17.2,17.3,16.8,17.2,338200
2026-03-25 07:00:00,17.65,18.1,17.35,18.1,523000
2026-03-26 07:00:00,18.1,18.1,17.7,17.85,161800
2026-03-27 07:00:00,17.65,18.35,17.65,18.35,381500
2026-03-30 07:00:00,18.1,18.25,17.7,18.15,200000
2026-03-31 07:00:00,18.2,18.5,18.0,18.0,403300
2026-04-01 07:00:00,18.3,18.4,18.1,18.35,359700
2026-04-02 07:00:00,18.2,18.95,18.1,18.55,640100
2026-04-03 07:00:00,18.55,18.7,18.0,18.15,213600
2026-04-06 07:00:00,18.15,18.3,17.4,17.7,313800
2026-04-07 07:00:00,17.8,17.8,17.4,17.55,228200
2026-04-08 07:00:00,17.75,18.4,17.75,18.3,385100
2026-04-09 07:00:00,18.1,18.25,18.0,18.0,309900
2026-04-10 07:00:00,18.2,18.2,17.9,17.9,197900
2026-04-13 07:00:00,17.95,17.95,17.7,17.75,253500
2026-04-14 07:00:00,17.95,18.8,17.8,18.5,422400
2026-04-15 07:00:00,18.55,18.6,18.05,18.05,311100
2026-04-16 07:00:00,17.9,18.2,17.9,17.9,192000
2026-04-17 07:00:00,17.9,18.25,17.9,18.05,158800
2026-04-20 07:00:00,18.2,18.2,17.9,17.9,182900
2026-04-21 07:00:00,17.9,18.0,17.75,17.75,248400
2026-04-22 07:00:00,17.75,17.85,17.6,17.85,307100
2026-04-23 07:00:00,17.85,17.85,17.5,17.6,269100
2026-04-24 07:00:00,17.75,17.85,17.2,17.85,251100
2026-04-28 07:00:00,17.8,17.95,17.45,17.5,178000
